,Chapter number in book,Chapter name,POV,Location,Storyline,Storyline2,In show yet?
A Storm of Swords,75,Samwell IV,Samwell,Wall,night,Stannis,1
A Storm of Swords,76,Jon XI,Jon,Wall,night,Stannis,1
A Storm of Swords,77,Tyrion XI,Tyrion,KL,KL,Tyrion,1
A Storm of Swords,78,Samwell V,Samwell,Wall,night,Stannis,1
A Storm of Swords,79,Jon XII,Jon,Wall,night,Stannis,1
A Storm of Swords,80,Sansa VII,Sansa,Vale,Sansa,,1
A Storm of Swords,81,Epilogue,Other,Riverlands,Other,,0
,,,,,,,
A Feast for Crows,0,Prologue,Other,South,Other,,0
A Feast for Crows,1,The Prophet,Aeron,Iron,Greyjoy,,0
A Feast for Crows,2,The Captain of Guards,Areo,Dorne,Dorne,,1
A Feast for Crows,3,Cersei I,Cersei,KL,KL,,1
A Feast for Crows,4,Brienne I,Brienne,Riverlands,Brienne,,1
A Feast for Crows,5,Samwell I,Samwell,Wall,night,,1
A Feast for Crows,6,Arya I,Arya,Braavos,Arya,,1
A Feast for Crows,7,Cersei II,Cersei,KL,KL,,1
A Feast for Crows,8,Jaime I,Jaime,KL,KL,,1
A Feast for Crows,9,Brienne II,Brienne,Riverlands,Brienne,,1
A Feast for Crows,10,Sansa I,Sansa,Vale,Sansa,,1
A Feast for Crows,11,The Kraken's Daughter,Asha,Iron,Greyjoy,,0
A Feast for Crows,12,Cersei III,Cersei,KL,KL,,1
A Feast for Crows,13,The Soiled Knight,Arys,Dorne,Dorne,,1
A Feast for Crows,14,Brienne III,Brienne,Riverlands,Brienne,,1
A Feast for Crows,15,Samwell II,Samwell,North,Sam,,1
A Feast for Crows,16,Jaime II,Jaime,KL,KL,,1
A Feast for Crows,17,Cersei IV,Cersei,KL,KL,,1
A Feast for Crows,18,The Iron Captain,Victarion,Iron,Greyjoy,,0
A Feast for Crows,19,The Drowned Man,Aeron,Iron,Greyjoy,,0
A Feast for Crows,20,Brienne IV,Brienne,Riverlands,Brienne,,0
A Feast for Crows,21,The Queenmaker,Arianne,Dorne,Dorne,,1
A Feast for Crows,22,Arya II,Arya,Braavos,Arya,,1
A Feast for Crows,23,Alayne I,Sansa,Vale,Sansa,,1
A Feast for Crows,24,Cersei V,Cersei,KL,KL,,1
A Feast for Crows,25,Brienne V,Brienne,Riverlands,Brienne,,0
A Feast for Crows,26,Samwell III,Samwell,Braavos,Sam,,1
A Feast for Crows,27,Jaime III,Jaime,Riverlands,Jaime,,1
A Feast for Crows,28,Cersei VI,Cersei,KL,KL,,1
A Feast for Crows,29,The Reaver,Victarion,Iron,Greyjoy,,0
A Feast for Crows,30,Jaime IV,Jaime,Riverlands,Jaime,,1
A Feast for Crows,31,Brienne VI,Brienne,Riverlands,Brienne,,0
A Feast for Crows,32,Cersei VII,Cersei,KL,KL,,0
A Feast for Crows,33,Jaime V,Jaime,Riverlands,Jaime,,0
A Feast for Crows,34,Cat of the Canals,Arya,Braavos,Arya,,1
A Feast for Crows,35,Samwell IV,Samwell,Dorne,Sam,,1
A Feast for Crows,36,Cersei VIII,Cersei,KL,KL,,1
A Feast for Crows,37,Brienne VII,Brienne,Riverlands,Brienne,,0
A Feast for Crows,38,Jaime VI,Jaime,Riverlands,Jaime,,0
A Feast for Crows,39,Cersei IX,Cersei,KL,KL,,0
A Feast for Crows,40,The Princess in the Tower,Arianne,Dorne,Dorne,,0
A Feast for Crows,41,Alayne II,Sansa,Vale,Sansa,,1
A Feast for Crows,42,Brienne VIII,Brienne,Riverlands,Brienne,,0
A Feast for Crows,43,Cersei X,Cersei,KL,KL,,1
A Feast for Crows,44,Jaime VII,Jaime,Riverlands,Jaime,,1
A Feast for Crows,45,Samwell V,Samwell,South,Sam,,0
,,,,,,,
A Dance with Dragons,0,Prologue,Other,Beyond,night,,1
A Dance with Dragons,1,Tyrion I,Tyrion,Essos,Tyrion,,1
A Dance with Dragons,2,Daenerys I,Daenerys,Essos,Daenerys,,1
A Dance with Dragons,3,Jon I,Jon,Wall,night,Stannis,1
A Dance with Dragons,4,Bran I,Bran,Beyond,Bran,,1
A Dance with Dragons,5,Tyrion II,Tyrion,Essos,Tyrion,,1
A Dance with Dragons,6,The Merchant's Man,Quentyn,Essos,,,0
A Dance with Dragons,7,Jon II,Jon,,,,1
A Dance with Dragons,8,Tyrion III,Tyrion,,,,1
A Dance with Dragons,9,Davos I,Davos,North,,,1
A Dance with Dragons,10,Jon III,,,,,1
A Dance with Dragons,11,Daenerys II,,Essos,Daenerys,,1
A Dance with Dragons,12,Reek I,Theon,North,Bolton,,1
A Dance with Dragons,13,Bran II,,Beyond,Bran,,1
A Dance with Dragons,14,Tyrion IV,,,,,1
A Dance with Dragons,15,Davos II,,,,,1
A Dance with Dragons,16,Daenerys III,,,,,1
A Dance with Dragons,17,Jon IV,,,,,1
A Dance with Dragons,18,Tyrion V,,,,,1
A Dance with Dragons,19,Davos III,,,,,1
A Dance with Dragons,20,Reek II,Theon,North,Bolton,,1
A Dance with Dragons,21,Jon V,,,,,1
A Dance with Dragons,22,Tyrion VI,,,,,1
A Dance with Dragons,23,Daenerys IV,,,,,1
A Dance with Dragons,24,The Lost Lord,JonCon,,,,0
A Dance with Dragons,25,The Windblower,Quentyn,,,,0
A Dance with Dragons,26,The Wayward Bride,Asha,,,,0
A Dance with Dragons,27,Tyrion VII,,,,,1
A Dance with Dragons,28,Jon VI,,,,,1
A Dance with Dragons,29,Davos IV,,,,,1
A Dance with Dragons,30,Daenerys V,,Essos,Daenerys,,1
A Dance with Dragons,31,Melisandre I,,,,,0
A Dance with Dragons,32,Reek III,Theon,,,,1
A Dance with Dragons,33,Tyrion VIII,,,,,1
A Dance with Dragons,34,Bran III,,,,,0
A Dance with Dragons,35,Jon VII,,,,,1
A Dance with Dragons,36,Daenerys VI,,Essos,Daenerys,,1
